_id,pin,stationname,points,description,timestamp,salt,area
ObjectId("5d20899c3e30a6bb8d76c05f"),b6bb2d9b1c09f5af19f7a4673374db39ed9f1e93c2198265ce46a4ac49dee680,Nordic Walking,2,,1562413468.9984145,65,Treffpunkt Brunnenhof
ObjectId("5d208a003e30a6bb8e05b5dd"),5d26a5f5482356dcacf780914b6f777848a246776b061da6961bb384a5452169,Laubsägearbeiten,4,,1562413568.8810163,80,H012, HBBZ
ObjectId("5d208b293e30a6bb8e05b5e4"),e03d802c36ba2e76e44f1effa9e6f51cb0ce045a7f78790c1d7af9488ecd3bb5,Badminton,1,,1562413865.3794935,42,s.Oliver Arena, Halle 4
ObjectId("5d208b623e30a6bb8e05b5e7"),7e0587cc801bcf6448be343b371f29f23972195635111f77b254f7627ac0f9c0,Basketball,2,,1562413922.5528648,70,Hartplatz TGW
ObjectId("5d208b823e30a6bb8d76c067"),701ccbf5d34b3aef8fe56b9c01ec29456b71ddccd4d13c54cd68eedc958628e8,Brettspiele,2,,1562413954.2370756,64,A006, KBBZ
ObjectId("5d208bb33e30a6bb8e05b5ea"),6bf5e827fb22e4f749aeb9ee0cc4a6728886c67988e8513d0a4312b19770c02f,Bubble-Soccer,1,,1562414003.9655995,43,Sportplatz TGW
ObjectId("5d208bec3e30a6bb8d76c06a"),157ddadec1736ae68784521a879e9c0a686d98282e27a89b57a32a9d5346e1ad,Create your super bowl,4,,1562414060.7707324,83,H101/102, HBBZ
ObjectId("5d208c0e3e30a6bb8d76c06d"),ea028fbb96ddfd31fb4768b87f87095c3f6d9e9734dbc2a7ee7f44bbf52cf164,Cricket,3,,1562414094.5543396,32,Sportplatz TGW
ObjectId("5d208c833e30a6bb8e05b5ed"),6954e432838f4324fd2cba6e52bb50872d2aee476300c06aacf6fc4f31759601,Erlebnispädagogik,4,,1562414211.721788,61,Wiese Feggrube, bei Regen Foyer KBBZ
ObjectId("5d208cb33e30a6bb8d76c070"),cc86149d160fff27ee9a709358ebafa65da82e578400f031addc016e9d23b09d,E-Sports,1,,1562414259.705525,67,C002, KBBZ
ObjectId("5d208cd13e30a6bb8e05b5f0"),6b059e8c08ddc964c9fbea145c827a2114e2302dc1189c3084992b223eab3265,Fitness,2,,1562414289.6625164,29,TGW Halle 1
ObjectId("5d208d143e30a6bb8e05b5f3"),4872d54bbe812b557490d54447448ca339c5d40b410c7e97d80ebabbc84092bb,Fußball,2,,1562414356.983333,19,TGW Sportplatz, bei Regen TGW Halle 6
ObjectId("5d208d3f3e30a6bb8d76c073"),f35ebfbf02c89ae822d163d0c6ac35408dec71b705149395d84023d3c5e00552,Gartenschach,2,,1562414399.066998,49,Brunnenhof KBBZ
ObjectId("5d208f513e30a6bb8e05b5f7"),fce28e03f18b5e9b855f3f0c73691cbea2f96af63736d6ac28204eb0db48823e,Gesunder Salat,4,,1562414929.867881,20,H202, HBBZ
ObjectId("5d208f823e30a6bb8d76c077"),0fcde080540551838ab30100ff8fb3bb01799c68b8e1dde398582fbcce45d819,Handball,2,,1562414978.3897235,33,TGW Außenanlage, bei Regen TGW Halle 2
ObjectId("5d208faf3e30a6bb8e05b5fa"),a5a0c5022e1080f7d872b5ef259bc2a6af70c41a8ea95170e9a7d3cd4fb062e0,Jonglieren,1,,1562415023.852497,81,A007, KBBZ
ObjectId("5d208fd13e30a6bb8e05b5fd"),0d64d5a0190e5f21a483ec1c78858a9036996ca03ea8f496b3afd05361e163cd,Kicker,1,,1562415057.6814013,47,A005, KBBZ
ObjectId("5d2090193e30a6bb8e05b600"),d9382a6d54ca01247994f6c128b6ccebdd34f575c6402043751f793663c0d791,Nähen,4,,1562415129.194708,34,H206/306, HBBZ
ObjectId("5d20903c3e30a6bb8e05b603"),78b3b2884f3639e972758caa5d3121fe40af2e6a09d3793475db3eb21910275e,Schach,2,,1562415164.0611017,99,A105, KBBZ
ObjectId("5d20909e3e30a6bb8e05b606"),e31c4af25827e2cf2a0e6f253d5683c5aa4981f74a42a595fed2aba81f547cff,Tanzen,2,,1562415262.7165394,31,H010, HBBZ
ObjectId("5d2090c83e30a6bb8e05b609"),385ee27e714e019f241f2766846167b1e819e5360bdba7bf189615545c10c8e8,Tischtennis,1,,1562415304.6807418,31,s.Oliver Arena, Halle 2
ObjectId("5d2091113e30a6bb8e05b60c"),59d433572f9534cf6e08a7ec480f5f055188b907922e74e603218dc1ec702c36,Torwandschießen,1,,1562415377.1889205,34,Wiese Feggrube
ObjectId("5d2091283e30a6bb8e05b60f"),16ae5de696f57d66a7087cfe8d4b74bfc44327c52d8f481c93d764ab066129e7,Trommeln,2,,1562415400.3984933,79,H103, HBBZ
ObjectId("5d20914a3e30a6bb8e05b612"),5fce48bce60df5983136d3f4ec1c5ba0bb3f9274f1403e74aeae3121e34d9b66,Volleyball,2,,1562415434.3379803,54,s.Oliver Arena, Halle 3
ObjectId("5d2091783e30a6bb8e05b615"),618522b16e8ba3c5ca78ccc8ff49265edac989657cb078d29b57173565355ae2,Wikingerschach,2,,1562415480.6861985,51,Wiese Feggrube
ObjectId("5d2091a13e30a6bb8e05b618"),823a9f9dc0d748bb90db85b94d7d34bc56fd99d14781528795c4ceefb10442fc,Workout,2,,1562415521.1654885,85,TGW Halle 5
ObjectId("5d2091bd3e30a6bb8e05b61b"),9b68deb677dc2399141d6c99f3a1fda1cf3f7e96f709f340b55065b0e617c43d,Yoga,3,,1562415549.7597485,62,s.Oliver Arena, Nebenhalle
ObjectId("5d2091e43e30a6bb8d76c07a"),e2d29594edc645a1602cf594bd80f7b0501c0e99258d8933e0278c2374f2c92a,Zumba,3,,1562415588.4369345,96,TGW Halle 4
